,m101,m102,m103,m201,m202,m203,m301,m302,m303,m401,m402,m403,m501,m502,m503,m601,m602,m603,m701,m702,m703
main,,,,,,,,,,,,,,,,,,,,,
gender,-0.126,-0.144,-0.166,,0.031,0.045,,,-0.096,,0.094,0.229,,-0.132,-0.156,,,,,,
1.age10,0.000,0.000,0.000,,-0.671,-0.541,,,0.000,,0.000,0.000,,0.000,0.000,,,0.000,,,0.000
2.age10,0.567**,0.149,0.232,,-1.457**,-1.590**,,,-0.180,,0.172,-0.004,,-0.576,-0.348,,,-0.062,,,-0.036
3.age10,0.952***,0.427,0.440,,-1.305**,-1.432**,,,-0.045,,0.311,0.153,,-0.774,-0.535,,,-0.528*,,,-0.505*
4.age10,1.040***,0.907**,0.842**,,-0.804,-0.684,,,0.027,,0.613,0.501,,-0.446,-0.117,,,-0.704*,,,-0.635*
5.age10,0.023,0.697,0.768,,0.000,0.000,,,0.148,,0.647,0.320,,-0.298,0.080,,,-0.409,,,-0.464
1.edu,0.922,0.567,0.681,,-1.021,-1.323,,,-0.205,,-1.171,-0.826,,-0.193,0.127,,,0.050,,,0.326
2.edu,0.777,0.365,0.465,,-1.121,-1.357*,,,-0.379,,-0.490,-0.304,,-0.174,-0.084,,,0.101,,,0.416
3.edu,0.145,0.095,0.164,,-0.132,-0.279,,,-0.278,,-0.231,-0.137,,-0.212,-0.176,,,0.143,,,0.539
4.edu,-0.534,-0.483,-0.469,,-0.090,-0.162,,,-0.137,,0.329,0.516,,0.421,0.463,,,0.288,,,0.416
5.edu,0.000,0.000,0.000,,0.000,0.000,,,0.000,,0.000,0.000,,0.000,0.000,,,0.000,,,0.000
bjhk,-0.310*,-0.249,-0.172,,0.092,-0.018,,,-0.184,,0.602**,0.487*,,0.381,0.381,,,0.038,,,0.046
htyr,-0.039***,-0.032**,-0.024,,0.052***,0.029,,,0.004,,0.055***,0.039*,,0.031,0.024,,,-0.061***,,,-0.054***
anzhi,0.068,,,,,,,,,,,,,,,,,,,,
1.wku,-0.537,-0.391,-0.347,,,,,,-0.142,,,0.249,,,0.758,,,,,,
2.wku,-0.224,0.145,0.161,,,,,,-0.146,,,-0.391,,,-0.303,,,,,,
3.wku,0.000,0.000,0.000,,,,,,0.000,,,0.000,,,0.000,,,,,,
4.wku,-3.458***,-2.453***,-2.503***,,,,,,-0.087,,,1.996***,,,1.383**,,,,,,
5.wku,-0.253,0.558*,0.510*,,,,,,0.193,,,-0.264,,,0.573,,,,,,
6.wku,-1.983***,-1.265**,-1.236**,,,,,,0.448,,,0.271,,,0.014,,,,,,
x1_1,,0.154***,0.147***,0.333***,0.319***,0.323***,0.013,0.018,0.058*,0.154**,0.130*,0.120*,0.185**,0.161*,0.144*,-0.053,-0.045,-0.056,-0.048,-0.043,-0.056
x1_2,,-0.605***,-0.520***,0.370,0.486*,0.287,0.180,0.253*,0.083,0.572*,0.664**,0.492,0.615*,0.671*,0.542,0.010,0.013,0.072,-0.008,-0.006,0.019
x2,,-1.024***,-1.019***,2.264***,2.011***,2.006***,0.796***,0.533***,0.322*,1.110***,1.123***,1.231***,1.368***,1.351***,1.478***,-0.156,-0.057,0.131,-0.053,0.050,0.254
cpc,,-0.076,-0.079,0.305,0.349,0.342,0.142,0.089,0.165,-0.009,0.147,0.078,-0.049,0.003,-0.094,-0.085,-0.039,-0.040,-0.012,0.045,0.029
cpcp,,-0.713***,-0.741***,0.510,0.402,0.459,0.502**,0.323*,0.113,0.698**,0.394,0.265,1.808***,1.665***,1.692***,0.270,0.300,0.419*,0.130,0.163,0.326
grp_2,,0.467,0.480,0.403,1.201**,1.047*,0.103,-0.061,0.598*,-0.270,0.178,0.014,-0.272,-0.084,-0.364,-0.350,-0.222,-0.523,0.057,0.093,-0.411
